obs;Date;DR;P90;P10
6;2011-Q2;4.6275987345;;
7;2011-Q3;4.3272945148;;
8;2011-Q4;4.206811364;;
9;2012-Q1;4.3163148052;;
10;2012-Q2;4.1493204224;;
11;2012-Q3;4.3665277619;;
12;2012-Q4;4.6493781011;;
13;2013-Q1;4.5573757228;;
14;2013-Q2;4.6433162422;;
15;2013-Q3;4.829204184;;
16;2013-Q4;5.0125663615;;
17;2014-Q1;4.8606671652;;
18;2014-Q2;4.6575360765;;
19;2014-Q3;4.5952209831;;
20;2014-Q4;4.3271508822;;
21;2015-Q1;4.1397816693;;
22;2015-Q2;3.9149331859;;
23;2015-Q3;3.92884319;;
24;2015-Q4;3.7918878854;;
25;2016-Q1;3.5308533474;;
26;2016-Q2;3.4543563601;;
27;2016-Q3;3.2696898881;;
28;2016-Q4;3.0896372068;;
29;2017-Q1;3.1524177484;;
30;2017-Q2;3.0579297146;;
31;2017-Q3;2.950526027;;
32;2017-Q4;2.8716044222;2.7399214123;2.5761089969
33;2018-Q1;2.7376760694;2.6250133695;2.307580671
34;2018-Q2;2.6983479524;2.6994411302;2.241411137
35;2018-Q3;2.5973659775;2.6673298406;2.0093362547
36;2018-Q4;2.6576972403;2.7684276787;1.9842096971
37;2019-Q1;2.627766259;2.8428964423;1.8752634862
38;2019-Q2;2.5791187112;2.8368388963;1.7428110446
39;2019-Q3;2.6628688702;3.007172842;1.7455034604
40;2019-Q4;2.6345810448;3.0298107077;1.6511322222
41;2020-Q1;2.6096099087;3.0319050188;1.5285171251
42;2020-Q2;2.6315880994;3.0879401585;1.4183935944
43;2020-Q3;2.6683457032;3.1381140457;1.3590085917
44;2020-Q4;2.6474977092;3.127694931;1.2255007716